municipality, title, party, name
LANCASTER, SUPERVISOR, 8A DEM, Johanna Metz Coleman
LANCASTER, SUPERVISOR, 8B REP, Dino J Fudoli
LANCASTER, COUNCILMAN, 10A DEM, Matthew J Walter
LANCASTER, COUNCILMAN, 10B REP, Russell W Sugg
LANCASTER, COUNCILMAN, 9A DEM, Dawn C Gaczewski
LANCASTER, COUNCILMAN, 9B REP, Joseph M Brainard
LANCASTER, TOWN CLERK, 11A DEM, Diane Sovinsky Terranova
LANCASTER, TOWN CLERK, 11B REP, Lindsay B Weisenburg
LANCASTER, TRUSTEE PUBLIC LIBRARY, 12A DEM, Suzanne M Jacobs
LANCASTER, TRUSTEE PUBLIC LIBRARY, 13B REP, Barbara J Tamol
MARILLA, SUPERVISOR, 8A DEM, Earl A Gingerich Jr
MARILLA, SUPERVISOR, 8C CON, George J Gertz
MARILLA, COUNCILMAN, 10A DEM, Brian W Nolan Sr
MARILLA, COUNCILMAN, 9A DEM, Randy R Reichert
MARILLA, COUNCILMAN, 9C CON, Warren K Handley
MARILLA, TOWN CLERK, 11A DEM, Dawn A Pearce
MARILLA, TOWN CLERK, 11C CON, Mary Furman
MARILLA, TOWN JUSTICE, 12A DEM, David F Wyzykowski
MARILLA, TOWN SUPERINTENDENT OF HIGHWAYS, 13A DEM, Ronald W Unverdorben Jr
NEWSTEAD, SUPERVISOR, 8A DEM, David L Cummings
NEWSTEAD, COUNCILMAN, 10A DEM, Richard C Baran
NEWSTEAD, COUNCILMAN, 10B REP, Joseph M Dugan
NEWSTEAD, COUNCILMAN, 9A DEM, Linda A Chaffee
NEWSTEAD, COUNCILMAN, 9B REP, Donald A York
NEWSTEAD, TOWN JUSTICE, 11B REP, Richard L Campbell
NORTH COLLINS, SUPERVISOR, 8A DEM, John M Tobia
NORTH COLLINS, COUNCILMAN, 10A DEM, Marie E Schmitz
NORTH COLLINS, COUNCILMAN, 10B REP, Michael W Perry
NORTH COLLINS, COUNCILMAN, 9A DEM, Ellen M Mathis
NORTH COLLINS, COUNCILMAN, 9C CON, James M Lint
NORTH COLLINS, TOWN CLERK, 11A DEM, Lynn Maciejewski
NORTH COLLINS, TOWN CLERK, 11C CON, Brendan R Orrange
NORTH COLLINS, TOWN JUSTICE, 12A DEM, Karen A Ricotta
